S1,C2,S3,S4
CTIF,RNF38,CTIF,RNF38
RNA5SP456,DCAF12,RNA5SP456,DCAF12
MIR4743,RN7SKP114,MIR4743,RN7SKP114
SMAD7,UBAP2,SMAD7,UBAP2
DYM,LAMA3,DYM,LAMA3
MIR4744,ANKRD29,MIR4744,ANKRD29
C18orf32,C18orf8,C18orf32,C18orf8
MIR1539,NPC1,MIR1539,NPC1
RPL17,NOTCH2,RPL17,NOTCH2
SNORD58C,CABLES1,SNORD58C,CABLES1
SNORD58A,TMEM241,SNORD58A,TMEM241
SNORD58B,snoU13,SNORD58B,snoU13
LIPG,,LIPG,CTAGE1
ACAA2,RN7SL745P,ACAA2,RN7SL745P
SCARNA17,MIR4741,SCARNA17,MIR4741
SCARNA17,RBBP8,SCARNA17,RBBP8
SCARNA18,SNORA73,SCARNA18,SNORA73
RNA5SP457,RNA5SP451,RNA5SP457,RNA5SP451
HAUS1,snoU13,HAUS1,snoU13
ATP5A1,GATA6,ATP5A1,GATA6
C18orf25,RNU6ATAC20P,C18orf25,RNU6ATAC20P
RNF165,GREB1L,RNF165,GREB1L
LOXHD1,SNORD23,LOXHD1,SNORD23
ST8SIA5,MIB1,ST8SIA5,MIB1
PIAS2,RN7SL233P,PIAS2,RN7SL233P
KATNAL2,SNRPD1,KATNAL2,SNRPD1
TCEB3B,ESCO1,TCEB3B,ESCO1
TCEB3CL2,SNORA81,TCEB3CL2,SNORA81
TCEB3CL,MIR320C1,TCEB3CL,MIR320C1
TCEB3C,ABHD3,TCEB3C,ABHD3
HDHD2,CYP11B2,HDHD2,CYP11B2
IER3IP1,CYP11B1,IER3IP1,CYP11B1
SKOR2,GML,SKOR2,GML
SMAD2,FAM91A1,SMAD2,FAM91A1
MIR4527,ANXA13,MIR4527,ANXA13
ZBTB7C,KLHL38,ZBTB7C,KLHL38
SETBP1,MIR4663,SETBP1,MIR4663
RNA5SP455,U3,RNA5SP455,U3
MIR4319,FAM83A,MIR4319,FAM83A
SLC14A2,TBC1D31,SLC14A2,TBC1D31
SLC14A1,MIR30D,SLC14A1,MIR30D
SIGLEC15,MIR30B,SIGLEC15,MIR30B
EPG5,KHDRBS3,EPG5,KHDRBS3
PSTPIP2,ZFAT,PSTPIP2,ZFAT
RN7SKP26,SNORA40,RN7SKP26,SNORA40
CCDC11,NDRG1,CCDC11,NDRG1
RN7SL310P,ST3GAL1,RN7SL310P,ST3GAL1
MBD1,WISP1,MBD1,WISP1
CXXC1,SLA,CXXC1,SLA
SKA1,TG,SKA1,TG
RNA5SP458,EFR3A,RNA5SP458,EFR3A
MYO5B,KCNQ3,MYO5B,KCNQ3
LINC00907,PHF20L1,LINC00907,PHF20L1
PIK3C3,TMEM71,PIK3C3,TMEM71
RNA5SP454,LRRC6,RNA5SP454,LRRC6
SYT4,HPYR1,SYT4,HPYR1
RIT2,HHLA1,RIT2,HHLA1
snoU13,OC90,snoU13,OC90
DCC,CASC8,DCC,CASC8
TMX3,CCAT1,TMX3,CCAT1
CCDC102B,POU5F1B,CCDC102B,POU5F1B
RN7SL695P,MYC,RN7SL695P,MYC
MEX3C,NSMCE2,MEX3C,NSMCE2
ELAC1,KIAA0196,ELAC1,KIAA0196
ME2,SQLE,ME2,SQLE
SMAD4,RN7SL590P,SMAD4,RN7SL590P
MRO,TRIB1,MRO,TRIB1
MAPK4,RN7SL329P,MAPK4,RN7SL329P
RN7SL342P,ZNF572,RN7SL342P,ZNF572
U8,LINC00964,U8,LINC00964
RN7SL112P,MIR4662B,RN7SL112P,MIR4662B
RN7SL795P,MTSS1,RN7SL795P,MTSS1
SOCS6,NDUFB9,SOCS6,NDUFB9
GTSCR1,TATDN1,GTSCR1,TATDN1
CBLN2,RNF139,CBLN2,RNF139
MIR548AV,TRMT12,MIR548AV,TRMT12
NETO1,ADCY8,NETO1,ADCY8
RNA5SP460,SNORA72,RNA5SP460,SNORA72
RN7SL401P,SNORA12,RN7SL401P,SNORA12
TIMM21,ASAP1,TIMM21,ASAP1
FBXO15,MIR5194,FBXO15,MIR5194
RN7SL551P,SNORA25,RN7SL551P,SNORA25
ADNP2,FAM49B,ADNP2,FAM49B
ATP9B,TMEM65,ATP9B,TMEM65
CTDP1,FER1L6,CTDP1,FER1L6
HSBP1L1,PVT1,HSBP1L1,PVT1
KCNG2,FAM84B,KCNG2,FAM84B
NFATC1,PCAT2,NFATC1,PCAT2
PARD6G,PCAT1,PARD6G,PCAT1
PQLC1,RN7SKP226,PQLC1,RN7SKP226
RBFADN,MIR1208,RBFADN,MIR1208
RBFA,MIR1207,RBFA,MIR1207
TXNL4A,MIR1205,TXNL4A,MIR1205
SALL3,TMEM75,SALL3,TMEM75
MAPRE2,LINC00861,MAPRE2,LINC00861
DTNA,MIR3686,DTNA,MIR3686
ZNF397,CCDC26,ZNF397,CCDC26
ZSCAN30,RN7SKP206,ZSCAN30,RN7SKP206
ZNF271,LINC00977,ZNF271,LINC00977
ZNF24,GSDMC,ZNF24,GSDMC
ZNF396,CRAMP1L,ZNF396,C1orf114
GALNT1,RPS15,GALNT1,HOXD13
INO80C,SYNGAP1,INO80C,BMP7
MIR187,SLC22A23,MIR187,DNAJC6
MIR3929,RPL22L1,MIR3929,HMX3
ASXL3,DIP2C,ASXL3,ZNF141
CCDC178,PRDM16,CCDC178,SLC35F3
NOL4,OR8D1,NOL4,C10orf41
KLHL14,A2LD1,KLHL14,GSG1L
WBP11P1,CCND1,WBP11P1,CRMP1
MIR4318,MIR23B,MIR4318,WNT3A
CELF4,CLDN18,CELF4,B4GALNT2
KIAA1328,GATA4,KIAA1328,NINJ2
MOCOS,ZHX2,MOCOS,B4GALNT2
ELP2,MAPK8IP3,ELP2,SYCE1L
RPRD1A,LRP5,RPRD1A,TSPAN2
C18orf21,ASRGL1,C18orf21,DYDC2
SLC39A6,MRPS5,SLC39A6,TMEM121
TPGS2,TSC2,TPGS2,ZNF665
SNORD112,ADAP1,SNORD112,IGFBP7
FHOD3,TMEM175,FHOD3,CYP24A1
RN7SKP182,IGFALS,RN7SKP182,SNCA
LINC00669,CLIC1,LINC00669,GPR98
DSG3,ABCB6,DSG3,OBSL1
DSG4,ITGB7,DSG4,NTNG1
DSG1,C14orf153,DSG1,REM1
DSC1,KCTD1,DSC1,ADM2
DSC3,CANT1,DSC3,RTN2
snoU13,SLC7A1,snoU13,ACCN1
DSC2,KIAA1199,DSC2,FAM38B
TRAPPC8,ADAP1,TRAPPC8,ZNF470
SLC25A52,RERE,SLC25A52,SYT1
LRRC37A7P,TBC1D16,LRRC37A7P,CUX2
RN7SKP44,INPP5A,RN7SKP44,C8orf42
B4GALT6,MAPK8IP3,B4GALT6,GLB1L3
TTR,TLN2,TTR,GDF1
DSG2,TNK2,DSG2,IGFBP7
RNF125,KCNJ6,RNF125,GSG1L
snoU13,BCAR1,snoU13,EFCAB4B
RNF138,PLCG2,RNF138,HMX3
GAREM,LRP5,GAREM,STMN3
MEP1B,DQX1,MEP1B,COL4A1
RNA5SP453,TST,RNA5SP453,LOC149134
RN7SL97P,BIN1,RN7SL97P,PCDH21
ZNF521,LEFTY1,ZNF521,NFYA
CDH2,C14orf28,CDH2,FAM38B
SS18,RNGTT,SS18,COL18A1
TAF4B,RAB40C,TAF4B,CCND2
PSMA8,CDH17,PSMA8,HMX3
CHST9,SLC6A9,CHST9,GRASP
U3,PLCB3,U3,GDF10
AQP4,TPCN1,AQP4,ZNF71
KCTD1,ACSF3,KCTD1,FAM189A1
U3,PRDM16,U3,TEPP
IFNA6,SDK1,IFNA6,NID2
KLHL9,ZBTB38,KLHL9,RUNDC3B
IFNA13,CYP4V2,IFNA13,RALYL
IFNA2,ARL6IP1,IFNA2,LHX1
IFNA8,DQX1,IFNA8,CTNND2
IFNA1,MYLK4,IFNA1,TFAP2C
IFNE,ZFPM1,IFNE,DST
MIR31HG,MAEA,MIR31HG,CBFA2T3
MIR31,PDGFA,MIR31,PTGDR
SNORD39,FAM3D,SNORD39,ACTA1
RN7SL151P,LHPP,RN7SL151P,SYN3
IFNA10,NTSR1,IFNA10,LHX1
IFNA17,TBC1D16,IFNA17,GLB1L3
IFNA16,MIR24-1,IFNA16,RET
IFNA7,NEIL1,IFNA7,FLRT2
IFNA5,LOC723809,IFNA5,T
IFNA14,GNA12,IFNA14,EDNRB
IFNA4,WNK2,IFNA4,GSG1L
CDKN2A,C1orf127,CDKN2A,ZNF385B
C9orf53,CPN1,C9orf53,GNAO1
CDKN2B,DYNC2H1,CDKN2B,SFTA3
MTAP,PFKP,MTAP,FBN2
DMRTA1,IFT140,DMRTA1,SLIT3
RMRPP5,FBXL8,RMRPP5,NTNG1
RN7SKP120,LRP5,RN7SKP120,CTNND2
IZUMO3,CASZ1,IZUMO3,CPLX2
TUSC1,CCND1,TUSC1,SLC43A3
ELAVL2,GYG1,ELAVL2,HAND2
IFNA21,PLEKHM3,IFNA21,MARK1
IFNW1,RPS15AP10,IFNW1,NOVA1
FOCAD,GFPT2,FOCAD,NXPH3
MIR491,PROZ,MIR491,EDIL3
IFNB1,ZCCHC24,IFNB1,PLXNA4
PTPLAD2,MAEA,PTPLAD2,KCNQ2
SNORA30,ZNF148,SNORA30,ZNF671
MIR4474,LRP2BP,MIR4474,CPAMD8
MIR4473,LMTK2,MIR4473,SGCE
MLLT3,DCAF4,MLLT3,ELOVL4
RN7SL157P,C17orf73,RN7SL157P,STK32B
TTC39B,GRK5,TTC39B,ADAMTS3
FREM1,IFT140,FREM1,OPRD1
CER1,FAM135A,CER1,GATA5
NFIB,ZCCHC14,NFIB,GLRB
ZDHHC21,SLC3A1,ZDHHC21,HERC5
LINC00583,RPH3AL,LINC00583,ST8SIA2
RN7SL849P,STK24,RN7SL849P,DOCK2
TYRP1,TMEM11,TYRP1,FOXI3
LURAP1L,UNC93B1,LURAP1L,KIF17
MPDZ,C19orf26,MPDZ,GJC1
KIAA0020,C11orf54,KIAA0020,SOX5
KCNV2,MYH15,KCNV2,HOXB13
RN7SL5P,PALM,RN7SL5P,NGF
PTPRD,WWP2,PTPRD,SH3GL3
PSIP1,TCF7L2,PSIP1,ZNF470
SNAPC3,SSU72,SNAPC3,ZNF880
RN7SL98P,PARD3,RN7SL98P,PIK3R5
CCDC171,SLC9A4,CCDC171,ZNF788
KDM4C,IGSF11,KDM4C,ISM1
SNORD27,FHL2,SNORD27,NTNG1
C9orf123,DAK,C9orf123,SYCE1L
snoU13,ANKS3,snoU13,CD81
UHRF2,GATA4,UHRF2,MSC
TPD52L3,TBC1D14,TPD52L3,TBX21
RN7SL25P,PPP4R2,RN7SL25P,C1orf61
RN7SL123P,LOC285768,RN7SL123P,MACROD1
GLDC,UNKL,GLDC,LHX1
C9orf38,C1orf21,C9orf38,SPEG
IL33,RAB40C,IL33,RGS20
snoU13,IPP,snoU13,TMEM63C
DENND4C,GFPT2,DENND4C,LHX1
RPS6,GAK,RPS6,MFAP3L
SLC24A2,MYADML,SLC24A2,GSG1L
ACER2,RAB40C,ACER2,MPPED2
